trial,msg_len,flip_pos,beta,alpha,p_percent
163,128,33,84,27,46.666666666666664
164,128,94,97,20,53.888888888888886
165,128,16,93,32,51.66666666666667
166,128,56,92,28,51.11111111111111
167,128,98,89,37,49.44444444444444
168,128,16,76,31,42.22222222222222
169,128,39,82,31,45.55555555555556
170,128,76,93,31,51.66666666666667
171,128,0,73,38,40.55555555555556
172,128,73,84,27,46.666666666666664
173,128,63,76,42,42.22222222222222
174,128,46,84,34,46.666666666666664
175,128,74,86,30,47.77777777777778
176,128,115,77,25,42.77777777777778
177,128,91,85,18,47.22222222222222
178,128,23,96,28,53.333333333333336
179,128,75,79,33,43.888888888888886
180,128,9,91,30,50.55555555555556
181,128,78,90,36,50.0
182,128,97,94,30,52.22222222222223
183,128,15,87,22,48.333333333333336
184,128,126,77,30,42.77777777777778
185,128,109,76,41,42.22222222222222
186,128,50,92,24,51.11111111111111
187,128,75,83,26,46.111111111111114
188,128,41,96,35,53.333333333333336
189,128,123,87,31,48.333333333333336
190,128,111,80,27,44.44444444444444
191,128,118,86,28,47.77777777777778
192,128,65,88,25,48.888888888888886
193,128,96,77,29,42.77777777777778
194,128,70,89,27,49.44444444444444
195,128,59,85,24,47.22222222222222
196,128,3,89,28,49.44444444444444
197,128,123,87,34,48.333333333333336
198,128,31,86,25,47.77777777777778
199,128,35,91,34,50.55555555555556
200,128,71,102,23,56.666666666666664
201,128,119,73,38,40.55555555555556
202,128,10,88,22,48.888888888888886
203,128,96,95,37,52.77777777777778
204,128,27,94,23,52.22222222222223
205,128,31,75,31,41.66666666666667
206,128,58,88,32,48.888888888888886
207,128,45,79,23,43.888888888888886
208,128,45,92,36,51.11111111111111
209,128,109,91,26,50.55555555555556
210,128,32,86,32,47.77777777777778
211,128,98,92,29,51.11111111111111
212,128,104,77,49,42.77777777777778
213,128,48,86,32,47.77777777777778
214,128,113,83,45,46.111111111111114
215,128,78,67,25,37.22222222222222
216,128,18,91,28,50.55555555555556
217,128,16,85,30,47.22222222222222
218,128,65,89,28,49.44444444444444
219,128,95,91,38,50.55555555555556
220,128,104,89,33,49.44444444444444
221,128,93,88,24,48.888888888888886
222,128,104,100,27,55.55555555555556
223,128,108,83,27,46.111111111111114
224,128,50,89,29,49.44444444444444
225,128,3,79,39,43.888888888888886
226,128,61,86,23,47.77777777777778
227,128,0,84,39,46.666666666666664
228,128,67,75,40,41.66666666666667
229,128,64,76,30,42.22222222222222
230,128,97,89,24,49.44444444444444
231,128,30,87,26,48.333333333333336
232,128,48,95,36,52.77777777777778
233,128,81,81,30,45.0
234,128,76,80,28,44.44444444444444
235,128,118,82,31,45.55555555555556
236,128,69,83,39,46.111111111111114
237,128,36,84,29,46.666666666666664
238,128,82,93,19,51.66666666666667
239,128,4,85,33,47.22222222222222
240,128,48,84,31,46.666666666666664
241,128,75,84,27,46.666666666666664
242,128,35,81,30,45.0
243,128,113,85,22,47.22222222222222
244,128,120,82,26,45.55555555555556
245,128,54,91,23,50.55555555555556
246,128,50,90,33,50.0
247,128,87,84,34,46.666666666666664
248,128,108,86,38,47.77777777777778
249,128,38,84,28,46.666666666666664
250,128,29,75,32,41.66666666666667
251,128,58,75,23,41.66666666666667
252,128,13,96,27,53.333333333333336
253,128,77,85,26,47.22222222222222
254,128,27,81,36,45.0
255,128,126,96,28,53.333333333333336
256,128,18,80,32,44.44444444444444
257,128,15,85,41,47.22222222222222
258,128,33,85,21,47.22222222222222
259,128,19,82,27,45.55555555555556
260,128,20,93,21,51.66666666666667
261,128,31,86,40,47.77777777777778
262,128,59,75,31,41.66666666666667
263,128,103,80,28,44.44444444444444
264,128,18,79,31,43.888888888888886
265,128,96,92,39,51.11111111111111
266,128,51,88,25,48.888888888888886
267,128,103,81,32,45.0
268,128,39,83,32,46.111111111111114
269,128,48,82,37,45.55555555555556
270,128,51,92,23,51.11111111111111
271,128,116,70,34,38.88888888888889
272,128,7,82,26,45.55555555555556
273,128,4,88,33,48.888888888888886
274,128,115,87,31,48.333333333333336
275,128,18,90,30,50.0
276,128,89,97,32,53.888888888888886
277,128,5,87,28,48.333333333333336
278,128,107,84,28,46.666666666666664
279,128,86,85,26,47.22222222222222
280,128,59,76,32,42.22222222222222
281,128,16,76,32,42.22222222222222
282,128,46,90,31,50.0
283,128,2,83,30,46.111111111111114
284,128,92,88,54,48.888888888888886
285,128,55,82,24,45.55555555555556
286,128,119,81,45,45.0
287,128,33,96,25,53.333333333333336
288,128,84,92,25,51.11111111111111
289,128,76,96,33,53.333333333333336
290,128,62,80,25,44.44444444444444
291,128,77,79,38,43.888888888888886
292,128,76,80,31,44.44444444444444
293,128,72,93,31,51.66666666666667
294,128,18,78,35,43.333333333333336
295,128,74,97,24,53.888888888888886
296,128,56,81,31,45.0
297,128,40,80,41,44.44444444444444
298,128,32,80,26,44.44444444444444
299,128,20,84,30,46.666666666666664
300,128,26,93,24,51.66666666666667
301,128,102,82,36,45.55555555555556
302,128,87,84,28,46.666666666666664
303,128,80,80,40,44.44444444444444
304,128,103,81,35,45.0
305,128,14,74,28,41.11111111111111
306,128,117,87,22,48.333333333333336
307,128,15,88,27,48.888888888888886
308,128,67,92,22,51.11111111111111
309,128,43,86,36,47.77777777777778
310,128,62,87,37,48.333333333333336
311,128,40,89,38,49.44444444444444
312,128,96,83,29,46.111111111111114
313,128,69,76,33,42.22222222222222
314,128,118,88,21,48.888888888888886
315,128,40,88,30,48.888888888888886
316,128,8,93,36,51.66666666666667
317,128,57,93,33,51.66666666666667
318,128,13,76,28,42.22222222222222
319,128,37,81,33,45.0
320,128,23,96,32,53.333333333333336
321,128,80,84,33,46.666666666666664
322,128,89,85,36,47.22222222222222
323,128,20,97,22,53.888888888888886
324,128,89,83,32,46.111111111111114
325,128,4,86,42,47.77777777777778
326,128,3,80,32,44.44444444444444
327,128,119,78,28,43.333333333333336
328,128,111,77,24,42.77777777777778
329,128,97,89,26,49.44444444444444
330,128,71,73,22,40.55555555555556
331,128,19,87,28,48.333333333333336
332,128,68,77,42,42.77777777777778
333,128,8,77,40,42.77777777777778
334,128,19,92,23,51.11111111111111
335,128,23,92,36,51.11111111111111
336,128,84,75,27,41.66666666666667
337,128,93,89,41,49.44444444444444
338,128,20,83,26,46.111111111111114
339,128,38,84,28,46.666666666666664
340,128,4,89,24,49.44444444444444
341,128,42,86,32,47.77777777777778
342,128,11,80,34,44.44444444444444
343,128,16,82,25,45.55555555555556
344,128,57,76,39,42.22222222222222
345,128,23,88,36,48.888888888888886
346,128,86,86,31,47.77777777777778
347,128,81,86,20,47.77777777777778
348,128,89,98,26,54.44444444444444
349,128,25,80,26,44.44444444444444
350,128,28,91,29,50.55555555555556
351,128,116,86,31,47.77777777777778
352,128,30,81,23,45.0
353,128,75,97,28,53.888888888888886
354,128,2,90,31,50.0
355,128,108,85,33,47.22222222222222
356,128,67,95,22,52.77777777777778
357,128,53,90,36,50.0
358,128,52,92,32,51.11111111111111
359,128,93,90,39,50.0
360,128,9,86,28,47.77777777777778
361,128,42,85,52,47.22222222222222
362,128,16,91,26,50.55555555555556
363,128,74,76,32,42.22222222222222
364,128,113,84,43,46.666666666666664
365,128,62,93,27,51.66666666666667
366,128,16,95,29,52.77777777777778
367,128,91,83,34,46.111111111111114
368,128,79,77,24,42.77777777777778
369,128,104,93,28,51.66666666666667
370,128,52,90,27,50.0
371,128,14,81,30,45.0
372,128,4,77,31,42.77777777777778
373,128,49,98,27,54.44444444444444
374,128,1,78,25,43.333333333333336
375,128,13,75,26,41.66666666666667
376,128,0,90,28,50.0
377,128,52,96,23,53.333333333333336
378,128,83,90,34,50.0
379,128,53,91,26,50.55555555555556
380,128,49,88,36,48.888888888888886
381,128,19,83,33,46.111111111111114
382,128,9,87,28,48.333333333333336
383,128,117,86,39,47.77777777777778
384,128,31,89,29,49.44444444444444
385,128,24,88,37,48.888888888888886
386,128,62,75,29,41.66666666666667
387,128,40,99,27,55.00000000000001
388,128,27,93,25,51.66666666666667
389,128,33,92,28,51.11111111111111
390,128,46,79,26,43.888888888888886
391,128,35,90,37,50.0
392,128,75,78,46,43.333333333333336
393,128,58,80,41,44.44444444444444
394,128,65,89,28,49.44444444444444
395,128,69,80,31,44.44444444444444
396,128,43,88,28,48.888888888888886
397,128,46,80,26,44.44444444444444
398,128,106,90,32,50.0
399,128,45,90,25,50.0
400,128,71,81,24,45.0
401,128,71,87,28,48.333333333333336
402,128,69,83,24,46.111111111111114
403,128,17,85,24,47.22222222222222
404,128,80,80,31,44.44444444444444
405,128,39,79,34,43.888888888888886
406,128,68,82,23,45.55555555555556
407,128,36,83,43,46.111111111111114
408,128,103,88,23,48.888888888888886
409,128,121,90,37,50.0
410,128,29,91,31,50.55555555555556
411,128,80,86,27,47.77777777777778
412,128,19,97,27,53.888888888888886
413,128,81,98,28,54.44444444444444
414,128,71,89,49,49.44444444444444
415,128,90,82,32,45.55555555555556
416,128,49,89,23,49.44444444444444
417,128,13,75,47,41.66666666666667
418,128,23,77,34,42.77777777777778
419,128,102,86,27,47.77777777777778
420,128,4,98,33,54.44444444444444
421,128,18,88,39,48.888888888888886
422,128,67,84,28,46.666666666666664
423,128,75,80,33,44.44444444444444
424,128,71,99,24,55.00000000000001
425,128,103,81,22,45.0
426,128,127,84,22,46.666666666666664
427,128,49,93,31,51.66666666666667
428,128,17,87,29,48.333333333333336
429,128,116,83,31,46.111111111111114
430,128,22,92,31,51.11111111111111
431,128,23,87,37,48.333333333333336
432,128,91,89,31,49.44444444444444
433,128,126,89,31,49.44444444444444
434,128,102,89,43,49.44444444444444
435,128,19,90,25,50.0
436,128,37,80,30,44.44444444444444
437,128,107,79,24,43.888888888888886
438,128,125,90,33,50.0
439,128,39,83,34,46.111111111111114
440,128,4,90,34,50.0
441,128,91,88,26,48.888888888888886
442,128,75,87,41,48.333333333333336
443,128,80,78,34,43.333333333333336
444,128,39,89,33,49.44444444444444
445,128,9,89,30,49.44444444444444
446,128,66,79,34,43.888888888888886
447,128,113,81,26,45.0
448,128,73,81,24,45.0
449,128,96,88,23,48.888888888888886
450,128,81,81,32,45.0
451,128,29,93,28,51.66666666666667
452,128,4,81,23,45.0
453,128,56,87,29,48.333333333333336
454,128,127,99,40,55.00000000000001
455,128,19,76,26,42.22222222222222
456,128,51,80,38,44.44444444444444
457,128,64,81,36,45.0
458,128,47,79,31,43.888888888888886
459,128,48,85,38,47.22222222222222
460,128,73,86,29,47.77777777777778
461,128,38,78,37,43.333333333333336
462,128,52,81,31,45.0
463,128,123,83,34,46.111111111111114
464,128,119,95,24,52.77777777777778
465,128,66,97,32,53.888888888888886
466,128,121,71,36,39.44444444444444
467,128,44,87,28,48.333333333333336
468,128,66,84,37,46.666666666666664
469,128,21,80,33,44.44444444444444
470,128,97,86,32,47.77777777777778
471,128,82,85,28,47.22222222222222
472,128,76,94,29,52.22222222222223
473,128,77,72,35,40.0
474,128,115,82,24,45.55555555555556
475,128,24,76,32,42.22222222222222
476,128,105,87,30,48.333333333333336
477,128,85,87,26,48.333333333333336
478,128,42,83,22,46.111111111111114
479,128,115,84,35,46.666666666666664
480,128,33,83,30,46.111111111111114
481,128,64,83,27,46.111111111111114
482,128,68,82,29,45.55555555555556
483,128,10,81,39,45.0
484,128,49,84,34,46.666666666666664
485,128,32,83,22,46.111111111111114
486,128,69,89,23,49.44444444444444
487,128,125,87,28,48.333333333333336
488,128,68,90,33,50.0
489,128,125,86,30,47.77777777777778
490,128,5,74,44,41.11111111111111
491,128,27,91,22,50.55555555555556
492,128,9,80,27,44.44444444444444
493,128,11,99,27,55.00000000000001
494,128,109,92,39,51.11111111111111
495,128,72,94,39,52.22222222222223
496,128,125,95,24,52.77777777777778
497,128,122,89,36,49.44444444444444
498,128,98,77,27,42.77777777777778
499,128,97,85,38,47.22222222222222
500,128,32,94,35,52.22222222222223
501,128,107,95,27,52.77777777777778
502,128,5,89,32,49.44444444444444
503,128,47,89,30,49.44444444444444
504,128,19,94,23,52.22222222222223
505,128,99,76,46,42.22222222222222
506,128,2,85,21,47.22222222222222
507,128,36,84,27,46.666666666666664
508,128,36,74,32,41.11111111111111
509,128,21,93,20,51.66666666666667
510,128,56,90,28,50.0
511,128,47,88,31,48.888888888888886
512,128,82,75,27,41.66666666666667
513,128,95,79,32,43.888888888888886
514,128,73,78,26,43.333333333333336
515,128,93,83,27,46.111111111111114
516,128,14,83,33,46.111111111111114
517,128,119,84,24,46.666666666666664
518,128,85,86,25,47.77777777777778
519,128,41,85,27,47.22222222222222
520,128,103,80,26,44.44444444444444
521,128,2,80,40,44.44444444444444
522,128,70,85,36,47.22222222222222
523,128,48,95,22,52.77777777777778
524,128,9,88,35,48.888888888888886
525,128,52,76,31,42.22222222222222
526,128,103,89,32,49.44444444444444
527,128,34,99,23,55.00000000000001
528,128,98,90,22,50.0
529,128,89,88,37,48.888888888888886
530,128,97,81,34,45.0
531,128,4,74,30,41.11111111111111
532,128,107,91,37,50.55555555555556
533,128,102,76,23,42.22222222222222
534,128,119,85,45,47.22222222222222
535,128,59,84,34,46.666666666666664
536,128,77,86,24,47.77777777777778
537,128,68,83,41,46.111111111111114
538,128,119,71,32,39.44444444444444
539,128,5,79,28,43.888888888888886
540,128,5,84,31,46.666666666666664
541,128,37,93,32,51.66666666666667
542,128,68,92,32,51.11111111111111
543,128,94,86,28,47.77777777777778
544,128,40,76,35,42.22222222222222
545,128,25,90,32,50.0
546,128,45,96,30,53.333333333333336
547,128,97,87,39,48.333333333333336
548,128,110,96,35,53.333333333333336
549,128,26,78,32,43.333333333333336
550,128,31,94,29,52.22222222222223
551,128,19,91,32,50.55555555555556
552,128,108,87,24,48.333333333333336
553,128,10,92,45,51.11111111111111
554,128,89,93,32,51.66666666666667
555,128,27,83,31,46.111111111111114
556,128,70,90,27,50.0
557,128,40,89,33,49.44444444444444
558,128,12,84,26,46.666666666666664
559,128,84,92,26,51.11111111111111
560,128,62,85,35,47.22222222222222
561,128,36,84,30,46.666666666666664
562,128,15,84,31,46.666666666666664
563,128,34,87,31,48.333333333333336
564,128,3,91,29,50.55555555555556
565,128,46,88,35,48.888888888888886
566,128,83,81,33,45.0
567,128,6,85,34,47.22222222222222
568,128,88,97,29,53.888888888888886
569,128,10,95,29,52.77777777777778
570,128,87,87,31,48.333333333333336
571,128,121,87,43,48.333333333333336
572,128,61,83,28,46.111111111111114
573,128,104,83,36,46.111111111111114
574,128,22,90,28,50.0
575,128,25,87,29,48.333333333333336
576,128,68,91,25,50.55555555555556
577,128,112,87,33,48.333333333333336
578,128,6,84,22,46.666666666666664
579,128,19,81,24,45.0
580,128,4,98,31,54.44444444444444
581,128,70,89,34,49.44444444444444
582,128,115,86,29,47.77777777777778
583,128,59,96,28,53.333333333333336
584,128,80,96,24,53.333333333333336
585,128,117,97,22,53.888888888888886
586,128,46,93,35,51.66666666666667
587,128,112,99,29,55.00000000000001
588,128,19,87,23,48.333333333333336
589,128,75,100,33,55.55555555555556
590,128,111,87,31,48.333333333333336
591,128,23,77,31,42.77777777777778
592,128,102,88,27,48.888888888888886
593,128,106,80,35,44.44444444444444
594,128,11,98,36,54.44444444444444
595,128,26,95,27,52.77777777777778
596,128,126,84,29,46.666666666666664
597,128,65,76,29,42.22222222222222
598,128,21,84,31,46.666666666666664
599,128,111,84,32,46.666666666666664
600,128,56,91,30,50.55555555555556
601,128,96,81,38,45.0
602,128,65,103,33,57.22222222222222
603,128,72,78,30,43.333333333333336
604,128,2,89,21,49.44444444444444
605,128,65,86,26,47.77777777777778
606,128,126,85,23,47.22222222222222
607,128,19,94,24,52.22222222222223
608,128,79,80,34,44.44444444444444
609,128,11,95,28,52.77777777777778
610,128,114,92,32,51.11111111111111
611,128,56,80,30,44.44444444444444
612,128,99,73,41,40.55555555555556
613,128,75,85,36,47.22222222222222
614,128,91,84,26,46.666666666666664
615,128,18,90,28,50.0
616,128,55,76,27,42.22222222222222
617,128,3,90,38,50.0
618,128,57,87,34,48.333333333333336
619,128,71,90,34,50.0
620,128,69,86,38,47.77777777777778
621,128,99,85,26,47.22222222222222
622,128,69,83,37,46.111111111111114
623,128,107,85,29,47.22222222222222
624,128,92,94,28,52.22222222222223
625,128,50,85,48,47.22222222222222
626,128,85,97,24,53.888888888888886
627,128,62,82,34,45.55555555555556
628,128,34,83,41,46.111111111111114
629,128,106,84,33,46.666666666666664
630,128,84,94,38,52.22222222222223
631,128,7,99,24,55.00000000000001
632,128,97,87,28,48.333333333333336
633,128,6,84,34,46.666666666666664
634,128,101,87,33,48.333333333333336
635,128,27,88,26,48.888888888888886
636,128,84,77,40,42.77777777777778
637,128,59,86,29,47.77777777777778
638,128,0,78,24,43.333333333333336
639,128,72,83,37,46.111111111111114
640,128,71,88,34,48.888888888888886
641,128,87,80,27,44.44444444444444
642,128,21,83,29,46.111111111111114
643,128,3,78,37,43.333333333333336
644,128,35,93,35,51.66666666666667
645,128,36,79,26,43.888888888888886
646,128,3,87,24,48.333333333333336
647,128,59,93,29,51.66666666666667
648,128,13,76,29,42.22222222222222
649,128,10,88,30,48.888888888888886
650,128,82,103,29,57.22222222222222
651,128,23,92,27,51.11111111111111
652,128,119,80,33,44.44444444444444
653,128,25,95,27,52.77777777777778
654,128,80,84,32,46.666666666666664
655,128,35,82,30,45.55555555555556
656,128,124,85,29,47.22222222222222
657,128,116,103,37,57.22222222222222
658,128,30,75,23,41.66666666666667
659,128,126,86,32,47.77777777777778
660,128,126,84,31,46.666666666666664
661,128,49,83,40,46.111111111111114
662,128,55,81,23,45.0
663,128,48,78,30,43.333333333333336
664,128,108,94,40,52.22222222222223
665,128,72,81,23,45.0
666,128,28,106,25,58.88888888888889
667,128,31,84,35,46.666666666666664
668,128,125,97,23,53.888888888888886
669,128,59,87,32,48.333333333333336
670,128,86,105,33,58.333333333333336
671,128,23,82,31,45.55555555555556
672,128,64,95,27,52.77777777777778
673,128,91,94,22,52.22222222222223
674,128,88,83,25,46.111111111111114
675,128,20,81,27,45.0
676,128,102,88,25,48.888888888888886
677,128,108,92,36,51.11111111111111
678,128,108,72,33,40.0
679,128,22,85,34,47.22222222222222
680,128,65,90,27,50.0
681,128,25,86,36,47.77777777777778
682,128,28,90,37,50.0
683,128,27,86,26,47.77777777777778
684,128,97,82,24,45.55555555555556
685,128,0,87,40,48.333333333333336
686,128,64,81,33,45.0
687,128,100,88,26,48.888888888888886
688,128,84,80,29,44.44444444444444
689,128,87,84,28,46.666666666666664
690,128,99,94,19,52.22222222222223
691,128,49,87,22,48.333333333333336
692,128,79,87,35,48.333333333333336
693,128,95,96,26,53.333333333333336
694,128,25,80,42,44.44444444444444
695,128,18,83,35,46.111111111111114
696,128,93,84,27,46.666666666666664
697,128,80,85,48,47.22222222222222
698,128,53,91,34,50.55555555555556
699,128,108,80,22,44.44444444444444
700,128,46,84,35,46.666666666666664
701,128,68,80,28,44.44444444444444
702,128,39,98,33,54.44444444444444
703,128,14,85,29,47.22222222222222
704,128,109,88,33,48.888888888888886
705,128,69,92,24,51.11111111111111
706,128,99,72,29,40.0
707,128,84,93,33,51.66666666666667
708,128,90,89,32,49.44444444444444
709,128,67,68,37,37.77777777777778
710,128,88,87,34,48.333333333333336
711,128,101,89,36,49.44444444444444
712,128,62,82,35,45.55555555555556
713,128,11,92,32,51.11111111111111
714,128,63,88,33,48.888888888888886
715,128,29,94,36,52.22222222222223
716,128,49,81,30,45.0
717,128,3,92,28,51.11111111111111
718,128,96,89,22,49.44444444444444
719,128,43,79,21,43.888888888888886
720,128,48,84,28,46.666666666666664
721,128,43,69,43,38.333333333333336
722,128,39,82,34,45.55555555555556
723,128,93,74,30,41.11111111111111
724,128,28,75,35,41.66666666666667
725,128,116,86,28,47.77777777777778
726,128,38,94,34,52.22222222222223
727,128,124,78,33,43.333333333333336
728,128,122,81,47,45.0
729,128,4,88,26,48.888888888888886
730,128,124,69,34,38.333333333333336
731,128,26,84,39,46.666666666666664
732,128,16,93,23,51.66666666666667
733,128,40,80,39,44.44444444444444
734,128,60,104,28,57.77777777777777
735,128,35,93,29,51.66666666666667
736,128,119,78,39,43.333333333333336
737,128,61,95,32,52.77777777777778
738,128,14,90,25,50.0
739,128,95,87,32,48.333333333333336
740,128,59,94,32,52.22222222222223
741,128,55,85,29,47.22222222222222
742,128,102,85,27,47.22222222222222
743,128,105,83,29,46.111111111111114
744,128,30,85,24,47.22222222222222
745,128,98,72,28,40.0
746,128,3,92,33,51.11111111111111
747,128,113,92,24,51.11111111111111
748,128,110,77,28,42.77777777777778
749,128,4,87,24,48.333333333333336
750,128,96,85,24,47.22222222222222
751,128,88,97,27,53.888888888888886
752,128,60,80,37,44.44444444444444
753,128,74,84,26,46.666666666666664
754,128,68,91,25,50.55555555555556
755,128,15,80,22,44.44444444444444
756,128,68,84,32,46.666666666666664
757,128,26,84,22,46.666666666666664
758,128,11,91,27,50.55555555555556
759,128,26,85,34,47.22222222222222
760,128,11,97,34,53.888888888888886
761,128,39,89,25,49.44444444444444
762,128,53,76,38,42.22222222222222
763,128,2,82,29,45.55555555555556
764,128,53,96,34,53.333333333333336
765,128,92,91,34,50.55555555555556
766,128,44,77,31,42.77777777777778
767,128,72,90,31,50.0
768,128,72,84,34,46.666666666666664
769,128,55,86,29,47.77777777777778
770,128,60,77,36,42.77777777777778
771,128,107,80,29,44.44444444444444
772,128,106,103,24,57.22222222222222
773,128,65,79,27,43.888888888888886
774,128,100,100,28,55.55555555555556
775,128,56,89,23,49.44444444444444
776,128,125,100,23,55.55555555555556
777,128,123,77,30,42.77777777777778
778,128,62,95,26,52.77777777777778
779,128,9,84,38,46.666666666666664
780,128,91,93,31,51.66666666666667
781,128,117,82,26,45.55555555555556
782,128,98,91,31,50.55555555555556
783,128,34,85,29,47.22222222222222
784,128,35,79,35,43.888888888888886
785,128,116,84,29,46.666666666666664
786,128,82,89,31,49.44444444444444
787,128,6,84,26,46.666666666666664
788,128,105,82,27,45.55555555555556
789,128,1,80,31,44.44444444444444
790,128,52,99,36,55.00000000000001
791,128,53,76,26,42.22222222222222
